title;description;artist;culture;country;teaserText;url;image;regularImage;largeImage;date;medium;accessionNumber;galleryInformation
Monkey;Meissen Manufactory (German, 1710–present);Meissen Manufactory;Germany;Germany;<p>Meissen Manufactory (German, 1710–present) </p><p>Date: ca.1740, after a model of ca.1732<br/>Accession Number: 1982.60.310</p>;"/art/collection/search/207190?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=2";https://images.metmuseum.org/CRDImages/es/mobile-large/DT7143.jpg;es/web-additional/DT7143.jpg;es/web-large/DT7143.jpg;ca.1740, after a model of ca.1732;Hard-paste porcelain;1982.60.310;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzU2Nzc0LDQwLjc3OTE5OTY1QGxtQDE0ODQzOTA3MzU1Ng==' target='_blank'>Gallery 538</a>
Monkey;Georges Seurat (French, Paris 1859–1891 Paris);Georges Seurat;;;<p>Georges Seurat (French, Paris 1859–1891 Paris) </p><p>Date: 1884<br/>Accession Number: 67.187.35</p>;"/art/collection/search/339754?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=3";https://images.metmuseum.org/CRDImages/dp/mobile-large/DP808129.jpg;dp/web-additional/DP808129.jpg;dp/web-large/DP808129.jpg;1884;Conté crayon;67.187.35;Not on view
Monkey;Anonymous, in the style of Mori Sosen (Japanese, 1747–1821);Mori Sosen;Japan;Japan;<p>Anonymous, in the style of Mori Sosen (Japanese, 1747–1821) </p><p>Date: style of 18th century<br/>Accession Number: 52.177.22</p>;"/art/collection/search/57332?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=4";https://images.metmuseum.org/CRDImages/as/mobile-large/52_177_22_154542.jpg;as/web-additional/52_177_22_154542.jpg;as/web-large/52_177_22_154542.jpg;style of 18th century;"Hanging scroll; ink and color on silk";52.177.22;Not on view
Monkey; ;;French;France;<p>Date: first half 18th century<br/>Accession Number: 07.225.413</p>;"/art/collection/search/189673?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=5";https://images.metmuseum.org/CRDImages/es/mobile-large/DP274040.jpg;es/web-additional/DP274040.jpg;es/web-large/DP274040.jpg;first half 18th century;Terracotta, polychrome;7.225.413;Not on view
Monkey;Derby Porcelain Manufactory (British, 1751–1785);Derby Porcelain Manufactory;British, Chelsea-Derby;Britain;<p>Derby Porcelain Manufactory (British, 1751–1785) </p><p>Date: ca. 1770<br/>Accession Number: 64.101.650</p>;"/art/collection/search/203493?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=6";https://images.metmuseum.org/CRDImages/es/mobile-large/DP-470-067.jpg;es/web-additional/DP-470-067.jpg;es/web-large/DP-470-067.jpg;ca. 1770;Soft-paste porcelain;64.101.650;Not on view
Monkey;Meissen Manufactory (German, 1710–present);Meissen Manufactory;Germany;Germany;<p>Meissen Manufactory (German, 1710–present) </p><p>Date: ca. 1732<br/>Accession Number: 1974.356.346</p>;"/art/collection/search/205908?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=7";https://images.metmuseum.org/CRDImages/es/mobile-large/205082.jpg;es/web-additional/205082.jpg;es/web-large/205082.jpg;ca. 1732;Hard-paste porcelain;1.974.356.346;Not on view
Monkey Amulet; ;;;;<p>Date: ca. 1802–1450 B.C.<br/>Accession Number: 22.1.1944g</p>;"/art/collection/search/587624?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=8";https://images.metmuseum.org/CRDImages/eg/mobile-large/22.1.1944g.jpg;eg/web-additional/22.1.1944g.jpg;eg/web-large/22.1.1944g.jpg;ca. 1802–1450 B.C.;Faience;22.1.1944g;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjAxNjgyLDQwLjc4MDE0MTAxQGxtQDI3MDk1ODk3NTMyNQ==' target='_blank'>Gallery 113</a>
Monkey Amulet; ;;;;<p>Date: ca. 1802–1450 B.C.<br/>Accession Number: 22.1.1944o</p>;"/art/collection/search/587632?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=9";https://images.metmuseum.org/CRDImages/eg/mobile-large/22.1.1944o.jpg;eg/web-additional/22.1.1944o.jpg;eg/web-large/22.1.1944o.jpg;ca. 1802–1450 B.C.;Faience;22.1.1944o;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjAxNjgyLDQwLjc4MDE0MTAxQGxtQDI3MDk1ODk3NTMyNQ==' target='_blank'>Gallery 113</a>
Monkey Amulet; ;;;;<p>Date: ca. 1802–1450 B.C.<br/>Accession Number: 22.1.1944m</p>;"/art/collection/search/587630?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=10";https://images.metmuseum.org/CRDImages/eg/mobile-large/22.1.1944m.jpg;eg/web-additional/22.1.1944m.jpg;eg/web-large/22.1.1944m.jpg;ca. 1802–1450 B.C.;Faience;22.1.1944m;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjAxNjgyLDQwLjc4MDE0MTAxQGxtQDI3MDk1ODk3NTMyNQ==' target='_blank'>Gallery 113</a>
Two Vases in the Shape of a Mother Monkey with her Young; ;;;;<p>Date: ca. 2289–2246 BC<br/>Accession Number: 30.8.134, 1992.338-related</p>;"/art/collection/search/590943?&sortBy=Relevance&ft=monkey&offset=1&rpp=100&amp;pos=11";https://images.metmuseum.org/CRDImages/eg/mobile-large/eg30.8.134_1992.338.jpg;eg/web-additional/eg30.8.134_1992.338.jpg;eg/web-large/eg30.8.134_1992.338.jpg;ca. 2289–2246 BC;Travertine (Egyptian alabaster), paint, resin and pigment;30.8.134, 1992.338-related;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MjM1ODA5LDQwLjc3OTY3MzAyQGxtQDU0MTQzNDIwMzEzMw==' target='_blank'>Gallery 103</a>
